epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.194,0.64446,2.55705,1.07673,0.00863,0.96836,0.78162,0.71925,0.35694,3.03587,0.83111,0.00046412,0.00046412,0.00046412
2,267.73,0.73936,1.4545,1.10234,0.75947,0.60374,0.75833,0.60377,0.72071,2.51921,1.07296,0.000928039,0.000928039,0.000928039
3,402.607,0.75699,1.24418,1.08934,0.82367,0.80194,0.87387,0.71266,0.63847,1.75338,0.98122,0.00137938,0.00137938,0.00137938
4,535.217,0.71727,1.08496,1.06886,0.87827,0.93238,0.92884,0.79375,0.53851,1.34137,0.94389,0.00137241,0.00137241,0.00137241
5,661.257,0.73489,1.01633,1.0681,0.8933,0.82942,0.90968,0.75517,0.58866,1.43922,0.9626,0.00135355,0.00135355,0.00135355
6,786.168,0.69028,0.96224,1.05987,0.86412,0.90347,0.93316,0.81737,0.49135,1.03881,0.8731,0.00133469,0.00133469,0.00133469
7,911.327,0.66516,0.86562,1.03924,0.96028,0.94295,0.96178,0.87117,0.45224,0.76266,0.8594,0.00131582,0.00131582,0.00131582
8,1037.11,0.63153,0.79419,1.01124,0.95174,0.92663,0.96173,0.86986,0.42269,0.75943,0.84218,0.00129696,0.00129696,0.00129696
9,1162.4,0.62768,0.7964,1.02474,0.92842,0.93105,0.95332,0.86665,0.42878,0.83576,0.85376,0.0012781,0.0012781,0.0012781
10,1287.3,0.63434,0.73408,1.02401,0.90274,0.89765,0.95103,0.86752,0.40085,0.73651,0.83435,0.00125923,0.00125923,0.00125923
11,1413.07,0.62001,0.68702,1.01785,0.9261,0.94334,0.9462,0.84458,0.44388,0.77381,0.87321,0.00124037,0.00124037,0.00124037
12,1538.69,0.62174,0.67093,1.01264,0.7334,0.76448,0.82777,0.71886,0.61963,1.21136,0.98075,0.00122151,0.00122151,0.00122151
13,1664.12,0.60099,0.64943,1.01008,0.96687,0.90804,0.94467,0.88645,0.37513,0.52155,0.84497,0.00120265,0.00120265,0.00120265
14,1789.38,0.58637,0.61358,1.00795,0.96242,0.95021,0.95848,0.90537,0.36521,0.46982,0.83289,0.00118378,0.00118378,0.00118378
15,1914.1,0.59716,0.58696,1.00083,0.97404,0.93674,0.95371,0.91087,0.32329,0.42794,0.81761,0.00116492,0.00116492,0.00116492
16,2039.22,0.55384,0.54865,0.96728,0.96459,0.96836,0.96391,0.91951,0.35228,0.4469,0.83208,0.00114606,0.00114606,0.00114606
17,2164.11,0.56716,0.57543,1.00122,0.98408,0.93558,0.96242,0.90474,0.34157,0.44245,0.82671,0.0011272,0.0011272,0.0011272
18,2288.84,0.5348,0.52703,0.98473,0.97204,0.95545,0.9646,0.93391,0.32361,0.39443,0.81826,0.00110833,0.00110833,0.00110833
19,2413.61,0.53584,0.51026,0.97697,0.98473,0.96836,0.96222,0.92522,0.31995,0.35972,0.82558,0.00108947,0.00108947,0.00108947
20,2538.96,0.54634,0.52267,0.97116,0.96816,0.95826,0.96251,0.92198,0.3122,0.37391,0.81532,0.00107061,0.00107061,0.00107061
21,2664.48,0.52023,0.47787,0.97323,0.97744,0.96331,0.96786,0.92887,0.32045,0.33909,0.81032,0.00105174,0.00105174,0.00105174
22,2789.06,0.50543,0.47388,0.96396,0.97815,0.9601,0.96243,0.92572,0.31529,0.32254,0.81736,0.00103288,0.00103288,0.00103288
23,2913.64,0.52244,0.47957,0.97455,0.98329,0.96155,0.9649,0.93061,0.31172,0.33484,0.81751,0.00101402,0.00101402,0.00101402
24,3038.49,0.53338,0.47919,0.98297,0.96938,0.94027,0.96213,0.92887,0.29384,0.37764,0.80542,0.000995156,0.000995156,0.000995156
25,3163.6,0.49154,0.45251,0.95918,0.9048,0.93349,0.95619,0.92713,0.30507,0.38804,0.80724,0.000976293,0.000976293,0.000976293
26,3290.03,0.49771,0.47478,0.96245,0.97297,0.96836,0.95803,0.91661,0.31819,0.35366,0.82207,0.00095743,0.00095743,0.00095743
27,3415.44,0.49741,0.4662,0.97442,0.98639,0.96271,0.96597,0.94171,0.27216,0.29453,0.79992,0.000938567,0.000938567,0.000938567
28,3540.81,0.47555,0.43505,0.96568,0.97598,0.96836,0.96563,0.94069,0.28993,0.30253,0.80914,0.000919704,0.000919704,0.000919704
29,3665.75,0.47756,0.43976,0.96571,0.97405,0.95844,0.96609,0.93647,0.28071,0.34561,0.80759,0.000900842,0.000900842,0.000900842
30,3792.09,0.47891,0.44765,0.96064,0.97248,0.95516,0.95726,0.93139,0.27045,0.30374,0.80013,0.000881979,0.000881979,0.000881979
31,3916.79,0.49999,0.45653,0.97305,0.97623,0.94918,0.96599,0.93859,0.29632,0.30627,0.80514,0.000863116,0.000863116,0.000863116
32,4041.85,0.48425,0.4482,0.95611,0.98493,0.95906,0.96447,0.93856,0.28573,0.30133,0.81105,0.000844253,0.000844253,0.000844253
33,4166.46,0.47393,0.42107,0.95823,0.97398,0.95145,0.96473,0.94421,0.27212,0.30125,0.80452,0.00082539,0.00082539,0.00082539
34,4291.29,0.44164,0.39883,0.93885,0.97159,0.96794,0.96656,0.94409,0.26376,0.25109,0.80257,0.000806528,0.000806528,0.000806528
35,4416.33,0.46183,0.40541,0.95101,0.97319,0.95826,0.96604,0.94812,0.26178,0.27593,0.79814,0.000787665,0.000787665,0.000787665
36,4541.43,0.4575,0.41074,0.9567,0.97388,0.95471,0.96564,0.94765,0.25882,0.26505,0.79626,0.000768802,0.000768802,0.000768802
37,4666.13,0.44671,0.38833,0.94346,0.96396,0.94864,0.96928,0.94774,0.25868,0.27574,0.79715,0.000749939,0.000749939,0.000749939
38,4791.16,0.45672,0.39871,0.94887,0.97362,0.96031,0.96745,0.94118,0.24184,0.24373,0.79315,0.000731076,0.000731076,0.000731076
39,4918.01,0.46248,0.40136,0.95582,0.97895,0.96251,0.96745,0.95604,0.24571,0.25096,0.79559,0.000712214,0.000712214,0.000712214
40,5047.88,0.44752,0.3989,0.94409,0.97952,0.96581,0.96127,0.93978,0.26047,0.2608,0.80101,0.000693351,0.000693351,0.000693351
41,5176.34,0.43582,0.38377,0.94321,0.98256,0.95241,0.9664,0.94467,0.26444,0.27673,0.80328,0.000674488,0.000674488,0.000674488
42,5308.06,0.4463,0.38793,0.9412,0.97649,0.96836,0.96933,0.94279,0.27685,0.26285,0.80349,0.000655625,0.000655625,0.000655625
43,5441.75,0.42262,0.3628,0.92906,0.98895,0.96836,0.96992,0.9504,0.25134,0.23824,0.79603,0.000636762,0.000636762,0.000636762
44,5571.38,0.43471,0.3783,0.93741,0.98067,0.96155,0.97157,0.94952,0.24153,0.23978,0.78949,0.0006179,0.0006179,0.0006179
45,5697.2,0.3992,0.34545,0.9201,0.98065,0.96836,0.96945,0.95656,0.23927,0.23814,0.79365,0.000599037,0.000599037,0.000599037
46,5831.39,0.41418,0.35669,0.92064,0.98324,0.96836,0.96824,0.94906,0.23373,0.23367,0.79208,0.000580174,0.000580174,0.000580174
