epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.004,0.67691,2.2556,1.05873,0.95851,0.38633,0.91127,0.80976,0.43919,2.68621,0.86416,0.000466993,0.000466993,0.000466993
2,340.925,0.70523,1.19492,1.03736,0.89843,0.88337,0.94717,0.81847,0.51341,1.6716,0.8776,0.000930875,0.000930875,0.000930875
3,508.638,0.69783,1.02143,1.05016,0.77131,0.85209,0.94935,0.80537,0.55407,2.03749,0.91495,0.00138218,0.00138218,0.00138218
4,676.073,0.66782,0.90985,1.01661,0.94355,0.93026,0.97618,0.85343,0.47473,1.46925,0.87899,0.00137241,0.00137241,0.00137241
5,869.219,0.63435,0.83825,1.00974,0.91893,0.89576,0.96028,0.84204,0.46548,0.97895,0.85614,0.00135355,0.00135355,0.00135355
6,1036.82,0.64608,0.76345,1.00782,0.9718,0.95266,0.98348,0.89966,0.41311,0.72864,0.83958,0.00133469,0.00133469,0.00133469
7,1230.4,0.652,0.72264,1.01549,0.99289,0.9583,0.98401,0.90535,0.40489,0.6481,0.81556,0.00131582,0.00131582,0.00131582
8,1436.27,0.58613,0.66632,0.98343,0.92775,0.94906,0.96452,0.85883,0.39563,0.60703,0.84161,0.00129696,0.00129696,0.00129696
9,1625.67,0.61036,0.64512,0.99984,0.95648,0.9795,0.98362,0.90376,0.38533,0.55699,0.8292,0.0012781,0.0012781,0.0012781
10,1792.98,0.56871,0.58569,0.97883,0.98698,0.96835,0.98202,0.9219,0.34981,0.47769,0.80558,0.00125923,0.00125923,0.00125923
11,1960.12,0.57676,0.57749,0.98434,0.9781,0.984,0.98633,0.93113,0.33263,0.44096,0.79601,0.00124037,0.00124037,0.00124037
12,2128.25,0.55121,0.54424,0.97721,0.97984,0.97435,0.98527,0.93481,0.35201,0.41671,0.80946,0.00122151,0.00122151,0.00122151
13,2294.83,0.56115,0.53065,0.97471,0.96947,0.9703,0.98673,0.91431,0.37751,0.41069,0.8226,0.00120265,0.00120265,0.00120265
14,2471.68,0.54835,0.52964,0.96981,0.9752,0.984,0.98801,0.94464,0.30376,0.3658,0.79732,0.00118378,0.00118378,0.00118378
15,2638.49,0.53776,0.50924,0.97609,0.99125,0.98524,0.98805,0.95048,0.31739,0.32524,0.79633,0.00116492,0.00116492,0.00116492
16,2805.85,0.51725,0.48089,0.96056,0.98188,0.97537,0.98646,0.92458,0.33651,0.34418,0.80098,0.00114606,0.00114606,0.00114606
17,2972.51,0.51867,0.47603,0.96039,0.97711,0.98433,0.98712,0.95438,0.30613,0.39906,0.78758,0.0011272,0.0011272,0.0011272
18,3139.27,0.49576,0.46053,0.94767,0.98462,0.97689,0.98832,0.9561,0.27083,0.31373,0.78384,0.00110833,0.00110833,0.00110833
19,3306.14,0.48925,0.45979,0.95634,0.98643,0.98975,0.98877,0.95321,0.31039,0.29794,0.80607,0.00108947,0.00108947,0.00108947
20,3472.98,0.50227,0.45929,0.95973,0.98336,0.98019,0.98795,0.92887,0.32531,0.31746,0.80338,0.00107061,0.00107061,0.00107061
21,3639.58,0.50712,0.44498,0.96265,0.98421,0.984,0.98883,0.949,0.29438,0.28354,0.79057,0.00105174,0.00105174,0.00105174
22,3806.31,0.48457,0.44238,0.94618,0.99707,0.98975,0.98886,0.96112,0.27258,0.27486,0.7843,0.00103288,0.00103288,0.00103288
23,3972.74,0.47878,0.43164,0.94858,0.98035,0.98975,0.988,0.95933,0.29462,0.28997,0.79496,0.00101402,0.00101402,0.00101402
24,4139.61,0.4726,0.42099,0.95309,0.98137,0.97386,0.9854,0.94415,0.31594,0.2946,0.79189,0.000995156,0.000995156,0.000995156
25,4306.32,0.46486,0.41307,0.93813,0.98332,0.97825,0.98629,0.9622,0.29512,0.28735,0.7917,0.000976293,0.000976293,0.000976293
26,4472.89,0.45935,0.40546,0.93657,0.98936,0.98646,0.98931,0.95876,0.26381,0.2398,0.78673,0.00095743,0.00095743,0.00095743
27,4639.68,0.45195,0.39399,0.93427,0.99797,0.98975,0.98899,0.96223,0.26345,0.24409,0.78462,0.000938567,0.000938567,0.000938567
28,4805.93,0.45626,0.40001,0.94585,0.99282,0.98975,0.98928,0.96631,0.26448,0.23647,0.78265,0.000919704,0.000919704,0.000919704
29,4972.66,0.46547,0.41823,0.94772,0.98399,0.98782,0.98846,0.96102,0.25823,0.25476,0.77921,0.000900842,0.000900842,0.000900842
30,5139.63,0.44946,0.39525,0.94331,0.99919,0.98505,0.98914,0.95938,0.27326,0.24948,0.78522,0.000881979,0.000881979,0.000881979
31,5306.62,0.44314,0.38484,0.93991,0.9868,0.9842,0.98932,0.97036,0.2569,0.22762,0.78444,0.000863116,0.000863116,0.000863116
32,5473.95,0.43859,0.38745,0.9304,0.99363,0.98975,0.98906,0.97408,0.23828,0.22218,0.77788,0.000844253,0.000844253,0.000844253
33,5640.81,0.43234,0.37224,0.92702,0.99342,0.98147,0.98923,0.96832,0.24899,0.2183,0.78368,0.00082539,0.00082539,0.00082539
34,5807.7,0.43299,0.36874,0.93232,0.99618,0.98975,0.98939,0.97139,0.242,0.21403,0.78195,0.000806528,0.000806528,0.000806528
35,5974.54,0.41412,0.35675,0.92127,0.98084,0.9795,0.98822,0.96512,0.25449,0.23926,0.77393,0.000787665,0.000787665,0.000787665
36,6141.97,0.4213,0.36183,0.9154,0.99208,0.984,0.98874,0.96966,0.24162,0.21391,0.78076,0.000768802,0.000768802,0.000768802
37,6326.86,0.41594,0.36624,0.92211,0.9982,0.98975,0.98924,0.96803,0.23948,0.22988,0.77578,0.000749939,0.000749939,0.000749939
38,6509.54,0.40376,0.36355,0.92364,0.99241,0.98569,0.98955,0.96834,0.23224,0.20839,0.77707,0.000731076,0.000731076,0.000731076
39,6681.11,0.40879,0.35415,0.91234,0.9872,0.98491,0.98923,0.97212,0.24447,0.22675,0.7784,0.000712214,0.000712214,0.000712214
40,6847.93,0.40973,0.35111,0.92035,0.99227,0.98975,0.98913,0.97157,0.24194,0.19791,0.77841,0.000693351,0.000693351,0.000693351
41,7015.06,0.40291,0.3495,0.91363,0.99295,0.984,0.98944,0.97297,0.22776,0.20478,0.77394,0.000674488,0.000674488,0.000674488
